DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:6052	central nervous system childhood germ cell tumor	central nervous system childhood germ cell tumor|central nervous system childhood germ cell tumors|central nervous system childhood germ cell tumour|central nervous system childhood germ cell tumours|childhood central nervous system germ cell neoplasm|childhood central nervous system germ cell neoplasms|childhood central nervous system germ cell tumor|childhood central nervous system germ cell tumors|childhood central nervous system germ cell tumour|childhood central nervous system germ cell tumours|childhood cns germ cell neoplasm|childhood cns germ cell neoplasms|childhood cns germ cell tumor|childhood cns germ cell tumors|childhood cns germ cell tumour|childhood cns germ cell tumours|childhood germ cell cns tumor|childhood germ cell cns tumors|childhood germ cell cns tumour|childhood germ cell cns tumours|childhood germ cell neoplasm of central nervous system|childhood germ cell neoplasm of cns|childhood germ cell neoplasm of the central nervous system|childhood germ cell neoplasm of the cns|childhood germ cell tumor of central nervous system|childhood germ cell tumor of cns|childhood germ cell tumor of the central nervous system|childhood germ cell tumor of the cns|childhood germ cell tumour of central nervous system|childhood germ cell tumour of cns|childhood germ cell tumour of the central nervous system|childhood germ cell tumour of the cns|paediatric germ cell neoplasm of cns|pediatric central nervous system germ cell neoplasm|pediatric central nervous system germ cell neoplasms|pediatric central nervous system germ cell tumor|pediatric central nervous system germ cell tumors|pediatric central nervous system germ cell tumour|pediatric central nervous system germ cell tumours|pediatric cns germ cell neoplasm|pediatric cns germ cell neoplasms|pediatric cns germ cell tumor|pediatric cns germ cell tumors|pediatric cns germ cell tumour|pediatric cns germ cell tumours|pediatric germ cell neoplasm of central nervous system|pediatric germ cell neoplasm of cns|pediatric germ cell neoplasm of the central nervous system|pediatric germ cell neoplasm of the cns|pediatric germ cell tumor of central nervous system|pediatric germ cell tumor of cns|pediatric germ cell tumor of the central nervous system|pediatric germ cell tumor of the cns|pediatric germ cell tumour of central nervous system|pediatric germ cell tumour of cns|pediatric germ cell tumour of the central nervous system|pediatric germ cell tumour of the cns
DOID:6053	childhood germ cell cancer	childhood germ cell cancer|childhood germ cell cancers|childhood germ cell neoplasm|childhood germ cell neoplasms|childhood germ cell tumor|childhood germ cell tumors|childhood germ cell tumour|childhood germ cell tumours|paediatric germ cell cancer|paediatric germ cell cancers|paediatric germ cell neoplasm|paediatric germ cell neoplasms|pediatric germ cell cancer|pediatric germ cell cancers|pediatric germ cell neoplasm|pediatric germ cell neoplasms|pediatric germ cell tumor|pediatric germ cell tumors|pediatric germ cell tumour|pediatric germ cell tumours
DOID:6067	ovarian mucinous neoplasm	malignant ovarian mucinous neoplasm|malignant ovarian mucinous neoplasms|malignant ovarian mucinous tumor|malignant ovarian mucinous tumors|malignant ovarian mucinous tumour|malignant ovarian mucinous tumours|mucinous neoplasm of ovary|mucinous neoplasm of the ovary|mucinous tumor of ovary|mucinous tumor of the ovary|mucinous tumour of ovary|mucinous tumour of the ovary|ovarian mucinous neoplasm|ovarian mucinous neoplasms|ovarian mucinous tumor|ovarian mucinous tumors|ovarian mucinous tumour|ovarian mucinous tumours
DOID:6082	childhood testicular germ cell tumor	childhood testicular germ cell neoplasm|childhood testicular germ cell neoplasms|childhood testicular germ cell tumor|childhood testicular germ cell tumors|childhood testicular germ cell tumour|childhood testicular germ cell tumours|paediatric testicular germ cell neoplasm|paediatric testicular germ cell neoplasms|paediatric testicular germ cell tumour|paediatric testicular germ cell tumours|pediatric testicular germ cell neoplasm|pediatric testicular germ cell neoplasms|pediatric testicular germ cell tumor|pediatric testicular germ cell tumors|pediatric testicular germ cell tumour|pediatric testicular germ cell tumours
DOID:6083	childhood ovarian endodermal sinus tumor	childhood ovarian endodermal sinus neoplasm|childhood ovarian endodermal sinus neoplasms|childhood ovarian endodermal sinus tumor|childhood ovarian endodermal sinus tumors|childhood ovarian endodermal sinus tumour|childhood ovarian endodermal sinus tumours|childhood ovarian yolk sac neoplasm|childhood ovarian yolk sac neoplasms|childhood ovarian yolk sac tumor|childhood ovarian yolk sac tumors|childhood ovarian yolk sac tumour|childhood ovarian yolk sac tumours|paediatric ovarian yolk sac tumour|paediatric ovarian yolk sac tumours|pediatric ovarian endodermal sinus neoplasm|pediatric ovarian endodermal sinus neoplasms|pediatric ovarian endodermal sinus tumor|pediatric ovarian endodermal sinus tumors|pediatric ovarian endodermal sinus tumour|pediatric ovarian endodermal sinus tumours|pediatric ovarian yolk sac neoplasm|pediatric ovarian yolk sac neoplasms|pediatric ovarian yolk sac tumor|pediatric ovarian yolk sac tumors|pediatric ovarian yolk sac tumour|pediatric ovarian yolk sac tumours
DOID:6084	childhood ovarian germ cell tumor	childhood ovarian germ cell neoplasm|childhood ovarian germ cell neoplasms|childhood ovarian germ cell tumor|childhood ovarian germ cell tumors|childhood ovarian germ cell tumour|childhood ovarian germ cell tumours|paediatric ovarian germ cell neoplasm|paediatric ovarian germ cell neoplasms|paediatric ovarian germ cell tumour|paediatric ovarian germ cell tumours|pediatric ovarian germ cell neoplasm|pediatric ovarian germ cell neoplasms|pediatric ovarian germ cell tumor|pediatric ovarian germ cell tumors|pediatric ovarian germ cell tumour|pediatric ovarian germ cell tumours
DOID:6085	meningeal melanoma	leptomeningeal melanoma|leptomeningeal melanomas|melanoma of leptomeninges|melanoma of the leptomeninges|meningeal melanoma|meningeal melanomas
DOID:6086	malignant leptomeningeal neoplasm	leptomeningeal cancer|leptomeningeal cancers|malignant leptomeningeal neoplasm|malignant leptomeningeal neoplasms|malignant leptomeningeal tumor|malignant leptomeningeal tumors|malignant leptomeningeal tumour|malignant leptomeningeal tumours|malignant neoplasm of leptomeninges|malignant neoplasm of the leptomeninges|malignant tumor of leptomeninges|malignant tumor of the leptomeninges|malignant tumour of leptomeninges|malignant tumour of the leptomeninges
DOID:6089	childhood leptomeningeal melanoma	childhood leptomeningeal melanoma|childhood leptomeningeal melanomas|childhood meningeal melanoma|childhood meningeal melanomas|pediatric leptomeningeal melanoma|pediatric leptomeningeal melanomas|pediatric meningeal melanoma|pediatric meningeal melanomas
DOID:6090	adult leptomeningeal melanoma	adult leptomeningeal melanoma|adult leptomeningeal melanomas|adult meningeal melanoma|adult meningeal melanomas|melanoma of adult leptomeninges|melanoma of the adult leptomeninges
DOID:6098	thalamic neoplasm	malignant neoplasm of thalamus|malignant neoplasm of the thalamus|malignant thalamic neoplasm|malignant thalamic neoplasms|malignant thalamic tumor|malignant thalamic tumors|malignant thalamic tumour|malignant thalamic tumours|malignant thalamus neoplasm|malignant thalamus neoplasms|malignant thalamus tumor|malignant thalamus tumors|malignant thalamus tumour|malignant thalamus tumours|malignant tumor of thalamus|malignant tumor of the thalamus|malignant tumour of thalamus|malignant tumour of the thalamus|neoplasm of thalamus|neoplasm of the thalamus|thalamic neoplasm|thalamic neoplasms|thalamic tumor|thalamic tumors|thalamic tumour|thalamic tumours|thalamus neoplasm|thalamus neoplasms|thalamus tumor|thalamus tumors|thalamus tumour|thalamus tumours|tumor of thalamus|tumor of the thalamus|tumour of thalamus|tumour of the thalamus
DOID:6101	signet ring cell variant cervical mucinous adenocarcinoma	signet ring cell variant cervical mucinous adenocarcinoma|signet ring cell variant cervical mucinous adenocarcinomas
DOID:6103	thoracic spinal canal and spinal cord meningioma	meningioma of the thoracic spinal canal and spinal cord|meningioma of thoracic spinal canal and spinal cord|thoracic intraspinal meningioma|thoracic intraspinal meningiomas|thoracic spinal canal and spinal cord meningioma|thoracic spinal canal and spinal cord meningiomas
DOID:6110	jugular foramen meningioma	jugular foramen meningioma|jugular foramen meningiomas|meningioma of jugular foramen|meningioma of the jugular foramen
DOID:6112	cerebral meningioma	cerebral hemispheric meningioma|cerebral hemispheric meningiomas|cerebral meningioma|cerebral meningiomas|meningioma of cerebral hemispheres|meningioma of cerebrum|meningioma of the cerebral hemispheres|meningioma of the cerebrum
DOID:6113	intracerebral cystic meningioma	intracerebral cystic meningioma|intracerebral cystic meningiomas
DOID:6114	cerebral convexity meningioma	cerebral convexity meningioma|cerebral convexity meningiomas|cerebral hemispheric convexity meningioma|cerebral hemispheric convexity meningiomas
DOID:6115	lateral ventricle meningioma	lateral ventricle meningioma|lateral ventricle meningiomas|meningioma of lateral ventricle|meningioma of the lateral ventricle
DOID:6126	anal canal carcinoma	anal canal and perianal gland cancer|anal canal and perianal gland cancers|anal canal and perianal gland carcinoma|anal canal and perianal gland carcinomas|anal canal carcinoma|anal canal carcinomas|carcinoma of anal canal|carcinoma of the anal canal
DOID:6128	gliomatosis cerebri	astrocytosis cerebri|gliomatosis|gliomatosis cerebri
DOID:6139	uterine corpus epithelioid leiomyosarcoma	uterine corpus epithelioid leiomyosarcoma|uterine corpus epithelioid leiomyosarcomas
DOID:6160	childhood choriocarcinoma of the testis	childhood choriocarcinoma of testis|childhood choriocarcinoma of the testis|childhood testicular choriocarcinoma|childhood testicular choriocarcinomas|pediatric choriocarcinoma of testis|pediatric choriocarcinoma of the testis|pediatric testicular choriocarcinoma|pediatric testicular choriocarcinomas
DOID:6161	childhood testicular mixed germ cell tumor	childhood testicular mixed germ cell neoplasm|childhood testicular mixed germ cell neoplasms|childhood testicular mixed germ cell tumor|childhood testicular mixed germ cell tumors|childhood testicular mixed germ cell tumour|childhood testicular mixed germ cell tumours|paediatric testicular mixed germ cell tumour|paediatric testicular mixed germ cell tumours|pediatric testicular mixed germ cell neoplasm|pediatric testicular mixed germ cell neoplasms|pediatric testicular mixed germ cell tumor|pediatric testicular mixed germ cell tumors|pediatric testicular mixed germ cell tumour|pediatric testicular mixed germ cell tumours
DOID:6162	childhood embryonal testis carcinoma	childhood embryonal carcinoma of testis|childhood embryonal carcinoma of the testis|childhood embryonal testis carcinoma|childhood embryonal testis carcinomas|childhood testicular embryonal carcinoma|childhood testicular embryonal carcinomas|pediatric embryonal carcinoma of testis|pediatric embryonal carcinoma of the testis|pediatric testicular embryonal carcinoma|pediatric testicular embryonal carcinomas
DOID:6163	familial renal papillary carcinoma	familial renal papillary carcinoma|familial renal papillary carcinomas|hereditary kidney papillary carcinoma|hereditary kidney papillary carcinomas|hereditary papillary carcinoma of kidney|hereditary papillary carcinoma of the kidney|hereditary papillary renal cancer|hereditary papillary renal cancers|hereditary papillary renal carcinoma|hereditary papillary renal carcinomas|hereditary papillary renal cell carcinoma|hereditary papillary renal cell carcinomas|hprcc
DOID:6166	prostatic urethra urothelial carcinoma	prostatic urethra urothelial carcinoma|prostatic urethra urothelial carcinomas
DOID:6167	prostatic urethral cancer	prostatic urethral cancer|prostatic urethral cancers|prostatic urethral malignant neoplasm|prostatic urethral malignant neoplasms
DOID:6170	ovarian carcinosarcoma	carcinosarcoma of ovary|carcinosarcoma of the ovary|malignant mixed mesodermal mullerian neoplasm of ovary|malignant mixed mesodermal mullerian neoplasm of the ovary|malignant mixed mesodermal mullerian tumor of ovary|malignant mixed mesodermal mullerian tumor of the ovary|malignant mixed mesodermal mullerian tumour of ovary|malignant mixed mesodermal mullerian tumour of the ovary|malignant mixed mesodermal müllerian neoplasm of ovary|malignant mixed mesodermal müllerian neoplasm of the ovary|malignant mixed mesodermal müllerian tumor of ovary|malignant mixed mesodermal müllerian tumor of the ovary|malignant mixed mesodermal müllerian tumour of ovary|malignant mixed mesodermal müllerian tumour of the ovary|malignant mixed müllerian tumor of the ovary|malignant mixed müllerian tumour of the ovary|mmmt of the ovary|ovarian carcinosarcoma|ovarian carcinosarcomas|ovarian malignant mixed epithelial mesenchymal tumor|ovarian malignant mixed epithelial mesenchymal tumors|ovarian malignant mixed epithelial mesenchymal tumour|ovarian malignant mixed epithelial mesenchymal tumours|ovarian malignant mixed mesodermal mullerian neoplasm|ovarian malignant mixed mesodermal mullerian neoplasms|ovarian malignant mixed mesodermal mullerian tumor|ovarian malignant mixed mesodermal mullerian tumors|ovarian malignant mixed mesodermal mullerian tumour|ovarian malignant mixed mesodermal mullerian tumours|ovarian malignant mixed mesodermal müllerian neoplasm|ovarian malignant mixed mesodermal müllerian neoplasms|ovarian malignant mixed mesodermal müllerian tumor|ovarian malignant mixed mesodermal müllerian tumors|ovarian malignant mixed mesodermal müllerian tumour|ovarian malignant mixed mesodermal müllerian tumours|ovarian malignant mixed mullerian neoplasm|ovarian malignant mixed mullerian neoplasms|ovarian malignant mixed mullerian tumor|ovarian malignant mixed mullerian tumors|ovarian malignant mixed mullerian tumour|ovarian malignant mixed mullerian tumours|ovarian malignant mixed müllerian neoplasm|ovarian malignant mixed müllerian neoplasms|ovarian malignant mixed müllerian tumor|ovarian malignant mixed müllerian tumors|ovarian malignant mixed müllerian tumour|ovarian malignant mixed müllerian tumours|ovarian mmmt
DOID:6171	uterine carcinosarcoma	carcino-sarcoma uterus|carcinosarcoma of the uterus|carcinosarcoma of uterus|carcinosarcoma uterus|carcinosarcomas uterine|malignant mixed mullerian tumor of uterus|malignant mixed mullerian tumour of uterus|mixed mullerian sarcoma of uterus|uterine carcinosarcoma|uterine carcinosarcomas|uterine mixed mullerian sarcoma|uterine mixed mullerian sarcomas
DOID:6179	ovarian small cell carcinoma	ovarian small cell carcinoma|ovarian small cell carcinomas
DOID:6190	rectum Kaposi's sarcoma	kaposi sarcoma of rectum|kaposi's sarcoma of rectum|kaposi's sarcoma of the rectum|rectal kaposi sarcoma|rectal kaposi sarcomas|rectal kaposi's sarcoma|rectal kaposi's sarcomas|rectum kaposi sarcoma|rectum kaposi sarcomas|rectum kaposi's sarcoma|rectum kaposi's sarcomas
DOID:6192	malignant inflammatory fibrous histiocytoma	inflammatory malignant fibrous histiocytoma|inflammatory malignant fibrous histiocytomas|inflammatory mfh|malignant inflammatory fibrous histiocytoma|malignant inflammatory fibrous histiocytomas|malignant xanthogranuloma|malignant xanthogranulomas|xanthosarcoma|xanthosarcomas
DOID:6193	epithelioid sarcoma	epithelioid cell sarcoma|epithelioid cell sarcomas|epithelioid sarcoma|epithelioid sarcoma nos|epithelioid sarcomas
DOID:6197	conventional malignant hemangiopericytoma	conventional malignant hemangiopericytoma|conventional malignant hemangiopericytomas
DOID:6199	cornea cancer	cornea cancer|cornea cancers|cornea neoplasm|cornea neoplasms|cornea tumor|cornea tumors|cornea tumour|cornea tumours|corneal neoplasm|corneal neoplasms|corneal tumor|corneal tumors|corneal tumour|corneal tumours|eye neoplasm cornea|malign neopl cornea|malignant cornea neoplasm|malignant cornea neoplasms|malignant cornea tumor|malignant cornea tumors|malignant cornea tumour|malignant cornea tumours|malignant corneal neoplasm|malignant corneal neoplasms|malignant corneal tumor|malignant corneal tumors|malignant corneal tumour|malignant corneal tumours|malignant neoplasm of cornea|malignant neoplasm of the cornea|malignant tumor of cornea|malignant tumor of the cornea|malignant tumour of cornea|malignant tumour of the cornea|neoplasm of cornea|neoplasm of the cornea|tumor of cornea|tumor of the cornea|tumour of cornea|tumour of the cornea
